Class,Precision,Recall,F1 Score,Support
Dark,1.0,0.9827586206896551,0.991304347826087,58
Green,0.9577464788732394,1.0,0.9784172661870504,68
Light,1.0,0.9642857142857143,0.9818181818181818,56
Medium,0.9821428571428571,0.9821428571428571,0.9821428571428571,56
