Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Learning Rate
1,7.311068073908488,6.062030673027039,0.06296296296296297,0.38888888888888895,[9.999989033776898e-05]
2,6.085255114237468,5.562121033668518,0.28148148148148144,0.4166666666666667,[9.999956135155689e-05]
3,5.5713409900665285,5.685944616794586,0.37037037037037035,0.3888888888888889,[9.999901304280687e-05]
4,4.965161339441935,5.223121225833893,0.3962962962962962,0.3611111111111111,[9.999824541392406e-05]
5,4.239436737696329,3.9842217564582825,0.437037037037037,0.49999999999999994,[9.999725846827563e-05]
6,3.6158859570821127,3.378349006175995,0.45925925925925937,0.4444444444444445,[9.999605221019084e-05]
7,3.1123754580815635,2.922519087791443,0.49999999999999994,0.4166666666666667,[9.99946266449609e-05]
8,2.6515656471252442,1.8497450947761536,0.5333333333333333,0.7777777777777778,[9.999298177883904e-05]
9,2.2325541814168295,2.2814737260341644,0.5555555555555556,0.5833333333333334,[9.999111761904047e-05]
10,1.835260526339213,2.340597093105316,0.614814814814815,0.5277777777777778,[9.99890341737423e-05]
11,1.536667710542679,1.494471788406372,0.6185185185185187,0.6666666666666666,[9.998673145208353e-05]
12,1.4370224684476853,2.3830526173114777,0.6111111111111113,0.47222222222222227,[9.998420946416502e-05]
13,1.377872218688329,1.729656383395195,0.5962962962962964,0.611111111111111,[9.998146822104945e-05]
14,1.2880235671997071,1.533607840538025,0.6296296296296297,0.5277777777777778,[9.997850773476127e-05]
15,1.1383367796738944,0.948359452188015,0.6444444444444445,0.7777777777777778,[9.997532801828661e-05]
16,1.0982111811637878,1.686961829662323,0.6148148148148148,0.638888888888889,[9.997192908557326e-05]
17,0.9239275177319844,1.1900354027748108,0.6851851851851853,0.5833333333333333,[9.996831095153057e-05]
18,0.9265649060408274,1.2512055039405823,0.6555555555555557,0.6111111111111112,[9.99644736320295e-05]
19,0.9155729621648788,0.9718837887048721,0.6703703703703706,0.6666666666666666,[9.996041714390239e-05]
20,0.8226790825525919,1.1737203896045685,0.7185185185185186,0.7499999999999999,[9.995614150494297e-05]
21,0.7623795330524444,1.2968191653490067,0.6925925925925929,0.6111111111111112,[9.995164673390629e-05]
22,0.7891556312640507,1.1319022625684738,0.7111111111111115,0.6666666666666666,[9.994693285050861e-05]
23,0.7757669597864151,0.7227159813046455,0.6962962962962965,0.7777777777777777,[9.994199987542734e-05]
24,0.7472065269947052,1.1150862127542496,0.7333333333333335,0.6388888888888888,[9.993684783030093e-05]
25,0.7154497558871905,1.0002539604902267,0.7259259259259262,0.6944444444444444,[9.993147673772875e-05]
26,0.7084266563256582,0.7633232697844505,0.72962962962963,0.6666666666666666,[9.992588662127106e-05]
27,0.6392028292020162,0.6745696924626827,0.7555555555555558,0.8055555555555556,[9.992007750544881e-05]
28,0.7056896497805913,0.6776226162910461,0.7296296296296297,0.8055555555555556,[9.991404941574365e-05]
29,0.5853366434574128,0.9800447374582291,0.7777777777777782,0.5555555555555556,[9.990780237859775e-05]
30,0.6404246727625529,0.4851212687790394,0.7888888888888893,0.8888888888888888,[9.990133642141364e-05]
31,0.5345453629891078,0.6247794888913631,0.7888888888888892,0.8333333333333333,[9.989465157255417e-05]
32,0.546271002292633,0.9500651061534882,0.7851851851851855,0.6111111111111112,[9.98877478613424e-05]
33,0.5483584175507228,0.6277838414534926,0.7851851851851855,0.8333333333333333,[9.988062531806131e-05]
34,0.476642577846845,0.5700385337695479,0.8296296296296297,0.8611111111111112,[9.987328397395394e-05]
35,0.538265141348044,0.5273820264264941,0.7703703703703704,0.8888888888888888,[9.986572386122296e-05]
36,0.5989684745669365,0.5540994852781296,0.7925925925925927,0.9166666666666666,[9.985794501303076e-05]
37,0.5292916024724642,0.7156253904104233,0.7925925925925928,0.7777777777777778,[9.984994746349916e-05]
38,0.5260308968524138,0.5275214845314622,0.8000000000000005,0.8888888888888888,[9.984173124770931e-05]
39,0.518651067217191,0.5720380386337638,0.792592592592593,0.8611111111111112,[9.983329640170157e-05]
40,0.44195952465136845,0.6799285374581814,0.8407407407407411,0.7499999999999999,[9.98246429624753e-05]
41,0.41651589050889015,0.5402326793409884,0.82962962962963,0.9166666666666666,[9.98157709679887e-05]
42,0.42506710613767307,0.5627519134432077,0.8370370370370374,0.8055555555555556,[9.98066804571587e-05]
43,0.45110789785782496,0.48186736553907394,0.814814814814815,0.861111111111111,[9.979737146986072e-05]
44,0.4001260310411453,0.578801192343235,0.851851851851852,0.7777777777777778,[9.978784404692855e-05]
45,0.3844407107681036,0.43863702192902565,0.8555555555555557,0.9166666666666666,[9.977809823015408e-05]
46,0.47497743330895903,0.783970975317061,0.8481481481481484,0.7222222222222222,[9.976813406228727e-05]
47,0.3800643419226011,0.4391917483881116,0.8333333333333336,0.8333333333333333,[9.975795158703584e-05]
48,0.3700042610367139,0.5787441171705723,0.8555555555555558,0.75,[9.97475508490651e-05]
49,0.40412027910351755,0.3967076148837805,0.8444444444444448,0.8888888888888888,[9.973693189399774e-05]
50,0.426238152384758,0.5573638342320919,0.8296296296296298,0.8055555555555556,[9.972609476841374e-05]
