Class,Precision,Recall,F1 Score,Support
Dark,1.0,1.0,1.0,58
Green,0.9714285714285714,1.0,0.9855072463768116,68
Light,1.0,0.9642857142857143,0.9818181818181818,56
Medium,1.0,1.0,1.0,56
