Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Learning Rate
1,6.6716921879695015,5.701616096496582,0.10531135531135528,0.3571428571428571,[9.999993511109622e-05]
2,5.511219226397001,4.028474950790406,0.3241758241758242,0.5285714285714286,[9.999974044455328e-05]
3,4.643586482757177,3.705999755859375,0.423992673992674,0.5571428571428572,[9.999941600087644e-05]
4,3.849414886572422,3.1713561058044433,0.47435897435897445,0.5285714285714286,[9.999896178090783e-05]
5,3.2822996897575183,2.8460017681121825,0.434981684981685,0.5857142857142856,[9.99983777858264e-05]
6,2.7387433846791587,2.722341299057007,0.4560439560439559,0.7142857142857143,[9.999766401714793e-05]
7,2.172826152581435,1.649434781074524,0.5192307692307692,0.5571428571428572,[9.999682047672506e-05]
8,2.0482211235242014,1.281063163280487,0.5293040293040292,0.5714285714285714,[9.999584716674726e-05]
9,1.5711867197965965,1.5175977945327759,0.5540293040293042,0.6857142857142857,[9.999474408974078e-05]
10,1.5204671178108606,1.2693903565406799,0.5009157509157509,0.6857142857142857,[9.999351124856874e-05]
11,1.3333420233848767,1.3273080348968507,0.5833333333333334,0.6,[9.999214864643102e-05]
12,1.234930613102057,0.99138223528862,0.5476190476190474,0.6857142857142857,[9.999065628686438e-05]
13,1.0452502132990422,0.9591493964195251,0.6382783882783883,0.6857142857142857,[9.998903417374228e-05]
14,1.0414024178798382,1.3816015124320984,0.6346153846153848,0.5285714285714286,[9.998728231127501e-05]
15,0.9540108209237074,0.7697005212306977,0.663919413919414,0.7714285714285715,[9.998540070400966e-05]
16,0.9516522494646219,1.1581159830093384,0.6538461538461541,0.6142857142857142,[9.998338935683e-05]
17,0.7696231680038648,1.0024193465709685,0.7225274725274725,0.5571428571428572,[9.998124827495663e-05]
18,0.7900329576088831,0.6903884470462799,0.707875457875458,0.6571428571428571,[9.997897746394684e-05]
19,0.7816195552929853,1.4421738147735597,0.71978021978022,0.42857142857142855,[9.997657692969464e-05]
20,0.762232210391607,0.630217120796442,0.7481684981684984,0.8285714285714285,[9.997404667843075e-05]
21,0.6303912343887182,0.6022905051708222,0.7371794871794874,0.7714285714285714,[9.997138671672258e-05]
22,0.6809460238004342,0.63960981965065,0.7490842490842492,0.7285714285714286,[9.996859705147422e-05]
23,0.6102486585195248,0.4631782591342926,0.7912087912087913,0.7714285714285715,[9.99656776899264e-05]
24,0.7018013015771524,0.6499461770057678,0.7051282051282054,0.7,[9.996262863965649e-05]
25,0.6452248757466291,0.5910189062356949,0.7554945054945058,0.7428571428571429,[9.995944990857846e-05]
26,0.6901024398513329,0.6464269161224365,0.7481684981684984,0.7714285714285714,[9.99561415049429e-05]
27,0.6212842376568378,0.5077322453260422,0.7783882783882786,0.8,[9.995270343733694e-05]
28,0.5996517875255682,0.36383017152547836,0.7692307692307693,0.9142857142857143,[9.99491357146843e-05]
29,0.6656852322511184,0.5278957575559616,0.7527472527472528,0.8571428571428571,[9.994543834624517e-05]
30,0.5238027845819792,0.5198657214641571,0.8058608058608061,0.8,[9.994161134161632e-05]
31,0.5897498169006445,0.5263896281365306,0.7692307692307694,0.8,[9.993765471073092e-05]
32,0.5947352911417301,0.3785015657544136,0.7673992673992677,0.9142857142857143,[9.993356846385865e-05]
33,0.46843713369124973,0.4262219503521919,0.8424908424908426,0.8571428571428571,[9.992935261160556e-05]
34,0.5818517044759713,0.4300210952758789,0.7738095238095243,0.8571428571428571,[9.992500716491417e-05]
35,0.6787691360864884,0.6262381702661515,0.7490842490842493,0.8,[9.992053213506331e-05]
36,0.4678371145557135,0.5554764419794083,0.8214285714285716,0.7285714285714285,[9.991592753366818e-05]
37,0.5178480847523763,0.5055625975131989,0.7985347985347988,0.8285714285714285,[9.991119337268028e-05]
38,0.5130449648086841,0.4954452350735664,0.8141025641025643,0.8285714285714286,[9.99063296643874e-05]
39,0.5263446693619093,0.6098850131034851,0.7875457875457876,0.6428571428571428,[9.990133642141355e-05]
40,0.5118622046250564,0.807073175907135,0.8076923076923082,0.6428571428571429,[9.989621365671898e-05]
41,0.447218510775994,0.3185508489608765,0.8141025641025644,0.9142857142857143,[9.989096138360011e-05]
42,0.4852449169907814,0.4444173023104668,0.8461538461538461,0.8285714285714286,[9.988557961568952e-05]
43,0.441177785062255,0.3848914712667465,0.8315018315018315,0.9428571428571428,[9.988006836695588e-05]
44,0.4538066453085496,0.37178527198266237,0.8333333333333334,0.8571428571428571,[9.987442765170395e-05]
45,0.40380282146044266,0.27219432266429067,0.8754578754578756,0.9142857142857143,[9.986865748457453e-05]
46,0.5840087754604144,0.2518670611083508,0.7591575091575093,0.8857142857142858,[9.986275788054439e-05]
47,0.41565000160764426,0.33203149437904356,0.8113553113553115,0.8285714285714285,[9.985672885492631e-05]
48,0.42338089415660274,0.34607710167765615,0.83974358974359,0.8857142857142858,[9.985057042336895e-05]
49,0.3325141461995932,0.33484956696629525,0.868131868131868,0.8857142857142858,[9.984428260185688e-05]
50,0.43690169354279834,0.6955989390611649,0.8424908424908424,0.7428571428571428,[9.983786540671047e-05]
