Class,Precision,Recall,F1 Score,Support
Dark,0.24369747899159663,1.0,0.3918918918918919,58
Green,0.0,0.0,0.0,68
Light,0.0,0.0,0.0,56
Medium,0.0,0.0,0.0,56
