Class,Precision,Recall,F1 Score,Support
Dark,0.9827586206896551,0.9827586206896551,0.9827586206896551,58
Green,0.9855072463768116,1.0,0.9927007299270073,68
Light,1.0,0.9464285714285714,0.9724770642201835,56
Medium,0.9482758620689655,0.9821428571428571,0.9649122807017544,56
