Class,Precision,Recall,F1 Score,Support
Dark,1.0,0.9827586206896551,0.991304347826087,58
Green,0.9855072463768116,1.0,0.9927007299270073,68
Light,1.0,0.9821428571428571,0.990990990990991,56
Medium,0.9824561403508771,1.0,0.9911504424778761,56
