Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Learning Rate
1,2.5570733587850225,0.47000764069311757,0.593460111317255,0.878151260504202,[9.990133642141355e-05]
2,0.9988156328485771,0.247980644378592,0.7195037105751411,0.9411764705882353,[9.960573506572378e-05]
3,0.6967599506598788,0.32818447190391664,0.76611781076067,0.8949579831932775,[9.911436253643429e-05]
4,0.6135053157733826,0.2191378824851092,0.7839749536178122,0.9705882352941176,[9.842915805643128e-05]
5,0.490292714158823,0.1916778699001845,0.8269944341372929,0.9789915966386554,[9.755282581475756e-05]
6,0.47872960049804153,0.1821123142452801,0.8172541743970334,0.9411764705882353,[9.648882429441246e-05]
7,0.43408293656811314,0.12961338882279747,0.8355751391465697,0.9831932773109244,[9.524135262330086e-05]
8,0.4009797509590333,0.12789557424976544,0.8492578849721725,0.9789915966386554,[9.381533400219309e-05]
9,0.4071103395023323,0.14438906010678587,0.8493738404452706,0.9537815126050421,[9.22163962751007e-05]
10,0.32241833786322893,0.08379271210116498,0.8794063079777367,0.9831932773109244,[9.045084971874741e-05]
11,0.31835702457767606,0.07011203330886714,0.8831168831168846,0.9873949579831932,[8.852566213878955e-05]
12,0.3108774208790296,0.09224289391354165,0.8855519480519489,0.9915966386554622,[8.644843137107061e-05]
13,0.30973148429403446,0.10421899926629574,0.8831168831168836,0.9789915966386554,[8.422735529643457e-05]
14,0.28072511271101896,0.11517116229515523,0.8962198515769955,0.9621848739495799,[8.187119948743473e-05]
15,0.24831520162474413,0.08576497751945521,0.9044526901669766,0.9831932773109244,[7.93892626146239e-05]
16,0.26433021267392226,0.08686819295946728,0.9100185528756962,0.9789915966386554,[7.679133974894998e-05]
17,0.23163428213507808,0.06653881447581465,0.9160482374768093,0.9873949579831932,[7.408768370508587e-05]
18,0.2023903784771486,0.06677612248013783,0.9253246753246757,0.9915966386554622,[7.128896457825375e-05]
19,0.2212589947497714,0.07895379896303091,0.9239332096474955,0.9789915966386554,[6.840622763423393e-05]
20,0.2024479508082467,0.08935792125788901,0.931354359925789,0.9831932773109244,[6.545084971874737e-05]
21,0.17549563181139044,0.05812316020841107,0.9365723562152132,0.9873949579831932,[6.243449435824273e-05]
22,0.16233972623617715,0.054938488544019705,0.942486085343228,0.9915966386554622,[5.936906572928623e-05]
23,0.13792713612390609,0.04924254846649573,0.9545454545454541,0.9873949579831932,[5.626666167821523e-05]
24,0.13373228122310882,0.05822853181470076,0.9545454545454549,0.9747899159663864,[5.313952597646558e-05]
25,0.1528902976749489,0.05457028526100604,0.9457328385899816,0.9915966386554622,[4.9999999999999874e-05]
26,0.14105799694110144,0.04203894724624286,0.9508348794063081,0.9915966386554622,[4.686047402353415e-05]
27,0.11318845368767544,0.04812930264811525,0.9624304267161414,0.9873949579831932,[4.373333832178463e-05]
28,0.12296913070800751,0.044046341487795446,0.9601113172541744,0.9873949579831932,[4.0630934270713584e-05]
29,0.12924219642209445,0.03663506666335332,0.9591836734693882,0.9915966386554622,[3.756550564175718e-05]
30,0.12463513328829877,0.04809637697112253,0.9568645640074208,0.9873949579831932,[3.454915028125254e-05]
31,0.1073664923428328,0.06270060511579846,0.961038961038961,0.9747899159663864,[3.159377236576598e-05]
32,0.10585547369744557,0.0470456477282021,0.9707792207792206,0.9915966386554622,[2.871103542174627e-05]
33,0.08410466141211075,0.04594296052613679,0.9768089053803338,0.9915966386554622,[2.5912316294914144e-05]
34,0.1038566558605193,0.05122171934379045,0.9666048237476809,0.9831932773109244,[2.320866025105006e-05]
35,0.0774844937705338,0.04895079135552377,0.9754174397031542,0.9873949579831932,[2.0610737385376288e-05]
36,0.09464009764888505,0.048626697978333515,0.9721706864564006,0.9957983193277312,[1.812880051256546e-05]
37,0.07333260378800333,0.04098724332460038,0.9777365491651206,0.9915966386554622,[1.5772644703565497e-05]
38,0.07056025096953109,0.06029237185687046,0.9749536178107603,0.9831932773109244,[1.3551568628929343e-05]
39,0.07140927852090605,0.04320010271690348,0.9763450834879405,0.9915966386554622,[1.1474337861210467e-05]
40,0.06747219391664575,0.043935750080409515,0.9791280148423003,0.9915966386554622,[9.549150281252582e-06]
41,0.05971216170575361,0.035674273115171885,0.9800556586270871,0.9915966386554622,[7.783603724899215e-06]
42,0.06085950240126944,0.03562266373774037,0.9805194805194801,0.9915966386554622,[6.184665997806794e-06]
43,0.056675820677184394,0.041920679885044915,0.9833024118738406,0.9915966386554622,[4.758647376698994e-06]
44,0.05691283919214265,0.0440116388935541,0.9800556586270873,0.9915966386554622,[3.5111757055874083e-06]
45,0.06533695808037293,0.03364768049419474,0.9768089053803338,0.9915966386554622,[2.447174185242312e-06]
46,0.06018066008472452,0.035623466955525256,0.9828385899814471,0.9915966386554622,[1.5708419435684428e-06]
47,0.07790329746407602,0.03365486506235731,0.974025974025974,0.9915966386554622,[8.856374635655615e-07]
48,0.05972624164794318,0.039526487060356885,0.9795918367346941,0.9915966386554622,[3.9426493427610525e-07]
49,0.05222237175262485,0.03215012314510258,0.9810992578849719,0.9915966386554622,[9.86635785864218e-08]
50,0.05337196166359505,0.04593822838026373,0.9837662337662336,0.9915966386554622,[0.0]
